word,phonetic,pos,def,example,syn,ant,tags,premium,stub
Acquit,,word,Expressing criticism or strong disapproval.,Editorials began to acquit the mayor for ignoring early warnings.,,,GRE|GMAT|IELTS,false,false
Acrimonious,,adjective,Describing something related to: Harsh / biting / sharp.,"She underlined acrimonious while reviewing the ""Harsh / biting / sharp"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Acuity,,noun,"A person, thing, or quality related to: Intelligent / wise.",The mentor offered acuity advice that changed her study habits.,,,GRE|GMAT|IELTS,false,false
Acumen,/ˈæk.jə.mən/,noun,Ability to make good judgments.,Understanding the acumen helps you grasp the author's argument.,"shrewdness,insight","ignorance,ineptitude",GRE|GMAT,false,false
Acute,,word,A vocabulary term from the group: Severe / strict.,"In the ""Severe / strict"" word cluster, acute helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Ad-Hoc,,word,A vocabulary term from the group: Planned / x spontaneous.,"In the ""Planned / x spontaneous"" word cluster, ad-hoc helps you spot synonyms on test day.",,opposite cluster,GRE|GMAT|IELTS,false,false
Adamant,,adjective,Unwilling to change one's mind or course of action.,"In the ""Stubborn (−)"" word cluster, adamant helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Adept,,word,A vocabulary term from the group: Skillful.,"In the ""Skillful"" word cluster, adept helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Adhere,,word,"A temporary pause, break, or gap in continuity.","She underlined adhere while reviewing the ""Break a rule"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Adjacent,,adjective,Describing something related to: Place side by side.,"In the ""Place side by side"" word cluster, adjacent helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Adjourn,,word,A vocabulary term from the group: Delay / postpone.,"She underlined adjourn while reviewing the ""Delay / postpone"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Admonish,/ədˈmɒn.ɪʃ/,verb,Warn or reprimand firmly.,"In the passage, the author uses admonish to mean warn or reprimand firmly.","rebuke,chide","praise,commend",GRE,false,false
Adorn,,word,A vocabulary term from the group: Attractive / decorative.,"In the ""Attractive / decorative"" word cluster, adorn helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Adroit,/əˈdrɔɪt/,adjective,Clever or skillful.,"In context, the word adroit means clever or skillful.","deft,nimble","clumsy,inept",GRE,false,false
Adulation,/ˌædʒ.əˈleɪ.ʃən/,noun,Excessive admiration.,Understanding the adulation helps you grasp the author's argument.,"flattery,praise","criticism,disdain",GRE,false,false
Adulterate,,verb,To act in a way related to the idea of: Impure / poisonous.,"She underlined adulterate while reviewing the ""Impure / poisonous"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Adversary,/ˈæd.və.ser.i/,noun,One's opponent in a contest.,The passage defines adversary as one's opponent in a contest.,"foe,rival","ally,friend",GRE,false,false
Adversity,,noun,"A person, thing, or quality related to: Pain / suffering.","She underlined adversity while reviewing the ""Pain / suffering"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Advocate,,verb,To act in a way related to the idea of: Supporter / x enemy.,"She underlined advocate while reviewing the ""Supporter / x enemy"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Aesthetic,/esˈθet.ɪk/,adjective,Concerned with beauty.,"Critics called the proposal aesthetic, noting that it was concerned with beauty.","artistic,tasteful","unattractive,ugly",GRE|IELTS,false,false
Affable,/ˈæf.ə.bəl/,adjective,Friendly and easy to talk to.,The affable speaker left little time for questions from the audience.,"amiable,genial","unfriendly,rude",GRE|GMAT,false,false
Affected,,word,A vocabulary term from the group: Artificial / pretense.,"In the ""Artificial / pretense"" word cluster, affected helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Affiliated,,word,"Full of happiness, joy, or delight.",She felt affiliated when the scholarship letter finally arrived.,,,GRE|GMAT|IELTS,false,false
Affinity,,noun,"A person, thing, or quality related to: Inclination.","In the ""Inclination"" word cluster, affinity helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Affirm,,word,A vocabulary term from the group: Confirm / approve.,"She underlined affirm while reviewing the ""Confirm / approve"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Afflictions,,word,A vocabulary term from the group: Pain / suffering.,"In the ""Pain / suffering"" word cluster, afflictions helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Affluent,/ˈæf.lu.ənt/,adjective,Having a great deal of money.,"In context, the word affluent means having a great deal of money.","wealthy,prosperous","poor,impoverished",GRE|GMAT,false,false
Aggrandize,/əˈɡræn.daɪz/,verb,Increase power or status of.,The ceasefire helped aggrandize fighting in the border region.,"exalt,elevate","belittle,diminish",GRE,false,false
Aghast,,word,A vocabulary term from the group: Horrifying / shocking.,"In the ""Horrifying / shocking"" word cluster, aghast helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Agile,,word,Willing or able to change or adapt easily.,"In the ""Flexible"" word cluster, agile helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Alacrity,/əˈlæk.rə.ti/,noun,Brisk and cheerful readiness.,The passage defines alacrity as brisk and cheerful readiness.,"eagerness,promptness","apathy,reluctance",GRE,false,false
Alienate,,verb,To act in a way related to the idea of: Make hostile.,"She underlined alienate while reviewing the ""Make hostile"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Allay,,adjective,Describing something related to: Calm down · + / to make less worse.,Officials hoped the treaty would allay tensions along the border.,,,GRE|GMAT|IELTS,false,false
Allegation,,noun,Expressing criticism or strong disapproval.,Editorials began to allegation the mayor for ignoring early warnings.,,,GRE|GMAT|IELTS,false,false
Allege,,word,Expressing criticism or strong disapproval.,Opponents allege the plan as costly and poorly timed.,,,GRE|GMAT|IELTS,false,false
Alleviate,/əˈliː.vi.eɪt/,verb,Make suffering less severe.,Leaders met to decide how best to alleviate the dispute.,"ease,relieve","aggravate,worsen",GRE|GMAT,false,false
Allude,,word,A vocabulary term from the group: Hint / indirect reference.,"She underlined allude while reviewing the ""Hint / indirect reference"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Allure,,noun,"A person, thing, or quality related to: Tempt (−).","She underlined allure while reviewing the ""Tempt (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Allusion,,noun,"A person, thing, or quality related to: Hint / indirect reference.","She underlined allusion while reviewing the ""Hint / indirect reference"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Ally,,adjective,Describing something related to: Supporter / x enemy.,"In the ""Supporter / x enemy"" word cluster, ally helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Aloof,,word,At the final stage; concluding.,"She underlined aloof while reviewing the ""Friendly"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Altercation,,noun,"A person, thing, or quality related to: Argue / fight.","In the ""Argue / fight"" word cluster, altercation helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Altruist,,word,Willing to give or share freely; kind and generous.,Critics accused the firm of altruist behavior during the shortage.,,,GRE|GMAT|IELTS,false,false
Amalgamate,/əˈmæl.ɡə.meɪt/,verb,Combine or unite.,"In the passage, the author uses amalgamate to mean combine or unite.","merge,blend","separate,divide",GRE,false,false
Ambiguous,,adjective,Describing something related to: Unclear in meaning.,"In the ""Unclear in meaning"" word cluster, ambiguous helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Ambition,,noun,"A person, thing, or quality related to: Competitiveness.","She underlined ambition while reviewing the ""Competitiveness"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Ambitious,,adjective,Describing something related to: Competitiveness.,"She underlined ambitious while reviewing the ""Competitiveness"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Ambivalent,/æmˈbɪv.ə.lənt/,adjective,Having mixed feelings.,"In context, the word ambivalent means having mixed feelings.","uncertain,conflicted","certain,resolute",GRE|GMAT,false,false
Ameliorate,/əˈmiːl.i.ə.reɪt/,verb,Make something bad better.,The team hoped the policy would ameliorate the problem over time.,"improve,enhance","worsen,deteriorate",GRE,false,false
Amenable,/əˈmiː.nə.bəl/,adjective,Open and responsive to suggestion.,"In context, the word amenable means open and responsive to suggestion.","cooperative,agreeable","uncooperative,defiant",GRE,false,false
Amend,,word,A vocabulary term from the group: Correct / repair.,"She underlined amend while reviewing the ""Correct / repair"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Amiable,/ˈeɪ.mi.ə.bəl/,adjective,Having a friendly manner.,"Critics called the proposal amiable, noting that it was having a friendly manner.","cordial,pleasant","hostile,unfriendly",GRE,false,false
Amicable,,adjective,At the final stage; concluding.,"In the ""Friendly"" word cluster, amicable helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Anachronism,/əˈnæk.rə.nɪ.zəm/,noun,Something belonging to another time.,The passage defines anachronism as something belonging to another time.,"archaism,relic","innovation,modernity",GRE,false,false
Analogy,,adjective,"Similar in nature, quality, or appearance.","She underlined analogy while reviewing the ""Similarity"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Anatomical,,adjective,Describing something related to: Bodily.,"She underlined anatomical while reviewing the ""Bodily"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Anecdote,,word,A vocabulary term from the group: Story.,"She underlined anecdote while reviewing the ""Story"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Anguish,,adjective,"Marked by sadness, sorrow, or grief.",The poem captured a anguish mood without becoming sentimental.,,,GRE|GMAT|IELTS,false,false
Animosity,,noun,"A person, thing, or quality related to: Hate.","She underlined animosity while reviewing the ""Hate"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Annihilate,,verb,To act in a way related to the idea of: Remove / destroy.,"She underlined annihilate while reviewing the ""Remove / destroy"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Annul,,word,A vocabulary term from the group: Cancel / take back.,"In the ""Cancel / take back"" word cluster, annul helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Anoint,,word,A vocabulary term from the group: Disrespecting sacred things.,"She underlined anoint while reviewing the ""Disrespecting sacred things"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Anomaly,/əˈnɒm.ə.li/,noun,Something that deviates from the norm.,The passage defines anomaly as something that deviates from the norm.,"irregularity,oddity","normality,standard",GRE|GMAT,false,false
Antagonist,,word,A vocabulary term from the group: Supporter / x enemy.,"In the ""Supporter / x enemy"" word cluster, antagonist helps you spot synonyms on test day.",,opposite cluster,GRE|GMAT|IELTS,false,false
Antagonize,,verb,To act in a way related to the idea of: Make hostile.,"In the ""Make hostile"" word cluster, antagonize helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Antecedent,,adjective,Describing something related to: Happening before main event.,"She underlined antecedent while reviewing the ""Happening before main event"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Antedate,,verb,To act in a way related to the idea of: Happening before main event.,"In the ""Happening before main event"" word cluster, antedate helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Anticipate,,verb,To act in a way related to the idea of: Prediction.,"In the ""Prediction"" word cluster, anticipate helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Antidote,,word,A vocabulary term from the group: Cure.,"In the ""Cure"" word cluster, antidote helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Antipathy,/ænˈtɪp.ə.θi/,noun,A deep-seated feeling of dislike.,A sense of antipathy spread through the crowd after the announcement.,"aversion,hostility","liking,affection",GRE,false,false
Antiquated,,word,Belonging to an earlier time; old or outdated.,"In the ""Old fashioned / outdated"" word cluster, antiquated helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Antithetical,,adjective,"Similar in nature, quality, or appearance.","In the ""Similarity"" word cluster, antithetical helps you spot synonyms on test day.",,opposite cluster,GRE|GMAT|IELTS,false,false
Apathetic,,adjective,Not alike; clearly different in nature or quality.,Critics noted apathetic styles between the first and second novels.,,,GRE|GMAT|IELTS,false,false
Aplomb,,word,Not alike; clearly different in nature or quality.,The two reports reached aplomb conclusions from the same survey data.,,,GRE|GMAT|IELTS,false,false
Appalling,,word,A vocabulary term from the group: Horrifying / shocking.,"In the ""Horrifying / shocking"" word cluster, appalling helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Appease,/əˈpiːz/,verb,Pacify by accepting demands.,Leaders met to decide how best to appease the dispute.,"placate,mollify","provoke,aggravate",GRE,false,false
Applaud,,word,Expressing praise or admiration.,Reviewers applaud the author for turning complex ideas into clear prose.,,,GRE|GMAT|IELTS,false,false
Apprehend,,word,A vocabulary term from the group: Understand.,"She underlined apprehend while reviewing the ""Understand"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Apprehensive,,adjective,Describing something related to: Doubtful.,"In the ""Doubtful"" word cluster, apprehensive helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Apprentice,,word,At the beginning; initial.,"She underlined apprentice while reviewing the ""Beginner / inexperienced"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Approbation,/ˌæp.rəˈbeɪ.ʃən/,noun,Approval or praise.,Understanding the approbation helps you grasp the author's argument.,"commendation,endorsement","condemnation,criticism",GRE,false,false
Appropriate,,verb,To act in a way related to the idea of: Take away forcibly.,"She underlined appropriate while reviewing the ""Take away forcibly"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Aptitude,,word,A vocabulary term from the group: Inclination.,"In the ""Inclination"" word cluster, aptitude helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Arbitrary,/ˈɑː.bɪ.trər.i/,adjective,Based on random choice.,"Critics called the proposal arbitrary, noting that it was based on random choice.","capricious,random","reasoned,systematic",GRE|GMAT,false,false
Arcane,/ɑːˈkeɪn/,adjective,Understood by few.,The situation seemed arcane to anyone who read the full report.,"esoteric,mysterious","common,obvious",GRE,false,false
Archaic,,adjective,Belonging to an earlier time; old or outdated.,"She underlined archaic while reviewing the ""Old fashioned / outdated"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Archetype,,word,A vocabulary term from the group: Best example.,"She underlined archetype while reviewing the ""Best example"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Ardent,,adjective,Describing something related to: Enthusiastic / excited.,"In the ""Enthusiastic / excited"" word cluster, ardent helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Ardor,,noun,"A person, thing, or quality related to: Enthusiastic / excited.","In the ""Enthusiastic / excited"" word cluster, ardor helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Arduous,/ˈɑː.dʒu.əs/,adjective,Involving great effort.,"In context, the word arduous means involving great effort.","strenuous,laborious","easy,effortless",GRE|IELTS,false,false
Arresting,,word,A vocabulary term from the group: Attract / fascinate.,"She underlined arresting while reviewing the ""Attract / fascinate"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Arrogant,,adjective,Describing something related to: Overly proud (−).,"In the ""Overly proud (−)"" word cluster, arrogant helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Artful,,adjective,Describing something related to: Cheat / deceive.,"In the ""Cheat / deceive"" word cluster, artful helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Articulate,/ɑːˈtɪk.jə.lət/,adjective,Fluent and clear in speech.,The professor gave an articulate explanation that even beginners could follow.,"eloquent,coherent","inarticulate,unclear",GRE|IELTS,false,false
Artifice,/ˈɑː.tɪ.fɪs/,noun,Clever trick or deception.,Understanding the artifice helps you grasp the author's argument.,"ruse,stratagem","honesty,sincerity",GRE,false,false
Artless,,adjective,Describing something related to: Easily fooled / innocent.,It was a artless move to negotiate before costs rose further.,,,GRE|GMAT|IELTS,false,false
Ascertain,,verb,To act in a way related to the idea of: Confirm / approve.,"In the ""Confirm / approve"" word cluster, ascertain helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Aspersion,,noun,"A person, thing, or quality related to: Accuse / defame.","In the ""Accuse / defame"" word cluster, aspersion helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Aspiration,,noun,"A person, thing, or quality related to: Competitiveness.","In the ""Competitiveness"" word cluster, aspiration helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Assail,,word,Expressing criticism or strong disapproval.,"Teachers rarely assail students in public, preferring private feedback.",,,GRE|GMAT|IELTS,false,false
Assent,,adjective,Describing something related to: Accept / agree / give in.,"In the ""Accept / agree / give in"" word cluster, assent helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Assert,,word,Clear and easy to understand.,"In the ""To claim / declare"" word cluster, assert helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Assiduous,,adjective,Describing something related to: Hard working (+).,"In the ""Hard working (+)"" word cluster, assiduous helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Assimilate,,verb,To act in a way related to the idea of: Understand.,"In the ""Understand"" word cluster, assimilate helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Assuage,/əˈsweɪdʒ/,verb,Make an unpleasant feeling less intense.,The team hoped the policy would assuage the problem over time.,"alleviate,soothe","aggravate,intensify",GRE,false,false
Astound,,word,Confused or bewildered.,"In the ""Confused / taken aback"" word cluster, astound helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Astray,,adjective,Describing something related to: Go off-track.,"In the ""Go off-track"" word cluster, astray helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Atrophy,,adjective,"Lacking strength, power, or effectiveness.","She underlined atrophy while reviewing the ""To lose strength / to weaken"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Attenuate,,verb,"Lacking strength, power, or effectiveness.","She underlined attenuate while reviewing the ""To lose strength / to weaken"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Attrition,,noun,"Lacking strength, power, or effectiveness.","In the ""To lose strength / to weaken"" word cluster, attrition helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Atypical,,adjective,Describing something related to: Illogical / strange.,"She underlined atypical while reviewing the ""Illogical / strange"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Audacious,,adjective,Showing courage or bravery in the face of difficulty.,"In the ""Disrespectfully bold (−)"" word cluster, audacious helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Augment,,noun,"Greater in size, amount, or intensity.",Small savings can augment quickly when invested with discipline.,,,GRE|GMAT|IELTS,false,false
Austere,,word,A vocabulary term from the group: Severe / strict.,"She underlined austere while reviewing the ""Severe / strict"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Authentic,,adjective,Intended to mislead or deceive.,"She underlined authentic while reviewing the ""Fake / deceptive"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Authoritative,,adjective,Describing something related to: Dominating (−).,"She underlined authoritative while reviewing the ""Dominating (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Autocrat,,word,A vocabulary term from the group: Dominating (−).,"She underlined autocrat while reviewing the ""Dominating (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Autonomy,,adjective,At the final stage; concluding.,"In the ""Independence / freedom"" word cluster, autonomy helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Avarice,/ˈæv.ər.ɪs/,noun,Extreme greed for wealth.,Understanding the avarice helps you grasp the author's argument.,"greed,cupidity","generosity,charity",GRE,false,false
Aversion,,noun,"A person, thing, or quality related to: Hate.","She underlined aversion while reviewing the ""Hate"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Avert,,word,A vocabulary term from the group: Avoid / dodge.,"In the ""Avoid / dodge"" word cluster, avert helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Avid,,word,A vocabulary term from the group: Enthusiastic / excited.,"In the ""Enthusiastic / excited"" word cluster, avid helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Avow,,word,Clear and easy to understand.,"She underlined avow while reviewing the ""To claim / declare"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Baffle,,word,Confused or bewildered.,"In the ""Confused / taken aback"" word cluster, baffle helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Balloon,,word,"Greater in size, amount, or intensity.",Scholars watched the debate balloon into new areas of policy.,,,GRE|GMAT|IELTS,false,false
Ballot,,word,A vocabulary term from the group: A vote.,"In the ""A vote"" word cluster, ballot helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Banal,/bəˈnɑːl/,adjective,Lacking originality; trite.,The situation seemed banal to anyone who read the full report.,"trite,hackneyed","original,novel",GRE|GMAT,false,false
Bane,,word,A vocabulary term from the group: Harmful / curse.,"In the ""Harmful / curse"" word cluster, bane helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Banter,,word,A vocabulary term from the group: Mock / disrespect (−).,"In the ""Mock / disrespect (−)"" word cluster, banter helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Barren,,verb,To act in a way related to the idea of: Bare.,"In the ""Bare"" word cluster, barren helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Base,,word,A vocabulary term from the group: Spiritual / x earthly.,"She underlined base while reviewing the ""Spiritual / x earthly"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Bask,,word,A vocabulary term from the group: Self-satisfaction (−).,"She underlined bask while reviewing the ""Self-satisfaction (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Beam,,word,"Full of happiness, joy, or delight.",The beam mood in the hall lifted after the good news.,,,GRE|GMAT|IELTS,false,false
Becloud,,word,A vocabulary term from the group: Unclear / hazy.,"In the ""Unclear / hazy"" word cluster, becloud helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Behold,,word,A vocabulary term from the group: To see.,"In the ""To see"" word cluster, behold helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Beholden,,verb,To act in a way related to the idea of: Thankful / bound*.,"She underlined beholden while reviewing the ""Thankful / bound*"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Belabor,,noun,Clear and easy to understand.,"She underlined belabor while reviewing the ""Explain too much"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Beleaguered,,word,A vocabulary term from the group: Troubled.,"She underlined beleaguered while reviewing the ""Troubled"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Belie,/bɪˈlaɪ/,verb,Fail to give a true impression.,"In the passage, the author uses belie to mean fail to give a true impression.","contradict,mask","reveal,confirm",GRE,false,false
Belittle,,word,A vocabulary term from the group: Mock / disrespect (−).,"She underlined belittle while reviewing the ""Mock / disrespect (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Bellicose,,word,A vocabulary term from the group: Aggressive / argumentative.,"In the ""Aggressive / argumentative"" word cluster, bellicose helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Belligerent,,adjective,Describing something related to: Aggressive / argumentative.,"She underlined belligerent while reviewing the ""Aggressive / argumentative"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Bemuse,,word,Confused or bewildered.,"She underlined bemuse while reviewing the ""Confused / taken aback"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Benefactor,,noun,Willing to give or share freely; kind and generous.,The tale warns against benefactor when success finally arrives.,,,GRE|GMAT|IELTS,false,false
Beneficent,/bɪˈnef.ɪ.sənt/,adjective,Doing good; charitable.,"Neighbors described her as beneficent, always ready to help newcomers settle in.","benevolent,generous","malevolent,selfish",GRE,false,false
Benevolent,,adjective,Willing to give or share freely; kind and generous.,Critics accused the firm of benevolent behavior during the shortage.,,,GRE|GMAT|IELTS,false,false
Benign,,word,A vocabulary term from the group: Harmful / curse.,"She underlined benign while reviewing the ""Harmful / curse"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Benignant,,adjective,Willing to give or share freely; kind and generous.,Critics accused the firm of benignant behavior during the shortage.,,,GRE|GMAT|IELTS,false,false
Bent,,adjective,Describing something related to: Inclination.,"She underlined bent while reviewing the ""Inclination"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Berate,,verb,Belonging to an earlier time; old or outdated.,Opponents berate the plan as costly and poorly timed.,,,GRE|GMAT|IELTS,false,false
Bereaved,,word,"Marked by sadness, sorrow, or grief.",The poem captured a bereaved mood without becoming sentimental.,,,GRE|GMAT|IELTS,false,false
